#,,,,Gain,,,,Check,,,,Average,,,,Saturation,,,
#Day,Time,Address,State,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm
2018-06-22,16:17:31,78:61:7c:34:25:97,OK,11,1,6,1,1,1,1,1,1874,2201,1889,2172,0,0,0,0
2018-06-22,16:21:49,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,699,3588,1278,3597,0,600,0,600
2018-06-22,16:21:49,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,699,2684,1278,2672,0,1,0,1
2018-06-22,16:21:50,78:61:7c:34:25:97,OK,11,1,6,1,1,1,1,1,1872,2198,1888,2170,0,0,0,0
2018-06-22,16:26:44,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,695,3611,1279,3619,0,600,0,600
2018-06-22,16:26:45,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,695,2702,1280,2689,0,1,0,1
2018-06-22,16:26:46,78:61:7c:34:25:97,OK,11,1,6,1,1,1,1,1,1861,2204,1891,2173,0,0,0,0
2018-06-22,16:29:06,78:61:7c:34:25:97,ST,4,6,4,6,0,1,1,1,4095,1694,1468,1118,600,0,0,0
2018-06-22,16:29:06,78:61:7c:34:25:97,1,1,6,4,6,1,1,1,1,1501,1714,1462,1118,0,0,0,0
2018-06-22,16:29:07,78:61:7c:34:25:97,OK,1,7,5,10,1,1,1,1,1501,1892,1810,1726,0,0,0,0
2018-06-25,11:54:59,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1382,3453,673,3580,0,600,0,600
2018-06-25,11:55:00,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1381,2640,673,2666,0,1,0,1
2018-06-25,11:55:00,78:61:7c:34:25:97,OK,5,1,12,1,1,1,1,1,1712,2495,1962,2204,0,1,0,0
2018-06-26,15:48:19,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1497,3462,1408,3508,0,600,0,600
2018-06-26,15:48:20,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1496,2644,1408,2640,0,1,0,1
2018-06-26,15:48:21,78:61:7c:34:25:97,OK,5,1,5,1,1,1,1,1,1855,2475,1745,2347,0,0,0,0
2018-06-26,16:26:10,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1471,3480,1392,3523,0,600,0,600
2018-06-26,16:26:11,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1471,2655,1392,2649,0,1,0,1
2018-06-26,16:26:12,78:61:7c:34:25:97,OK,5,1,5,1,1,1,1,1,1824,2444,1724,2323,0,0,0,0
2018-06-26,20:21:15,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1471,3577,1392,3623,0,600,0,600
2018-06-26,20:21:17,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1471,2731,1392,2726,0,1,0,1
